vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
2,17,-9.10573394e+00,0.00000000e+00,2.07563990e+00,9.49324430e+00,-9.82345841e+00,2.50210496e-03,6.04643650e+02,1.90642760e+00,2.29377120e+00,-9.17983847e+00,7.41045244e-02,1.75000000e+01
0,51,-9.10419160e+00,0.00000000e+00,2.08979140e+00,6.22172700e+00,-9.24689408e+00,5.20011450e-02,6.00872510e+02,2.00818700e+00,2.18122260e+00,-9.75363811e+00,6.49446512e-01,5.15000000e+01
1,38,-9.10409962e+00,0.00000000e+00,2.08270700e+00,7.03192490e+00,-9.53345975e+00,2.30971118e-02,6.02762840e+02,1.94747920e+00,2.24735260e+00,-9.46501200e+00,3.60912373e-01,3.85000000e+01
2,18,-9.09702466e+00,0.00000000e+00,2.07585730e+00,9.27327790e+00,-9.81455185e+00,2.93830321e-03,6.04813000e+02,1.90662240e+00,2.29401990e+00,-9.17983847e+00,8.28138040e-02,1.85000000e+01
2,19,-9.08783347e+00,0.00000000e+00,2.07608390e+00,9.07378350e+00,-9.80515221e+00,3.41998901e-03,6.04991870e+02,1.90682810e+00,2.29428250e+00,-9.17983847e+00,9.20049974e-02,1.95000000e+01
1,39,-9.08519097e+00,0.00000000e+00,2.08317740e+00,6.95969720e+00,-9.51429476e+00,2.47962576e-02,6.03126680e+02,1.94791280e+00,2.24787640e+00,-9.46501200e+00,3.79821028e-01,3.95000000e+01
0,52,-9.07892691e+00,0.00000000e+00,2.09042320e+00,6.17375100e+00,-9.22151565e+00,5.48876809e-02,6.01353290e+02,2.00878840e+00,2.18189310e+00,-9.75363811e+00,6.74711206e-01,5.25000000e+01
2,20,-9.07816063e+00,0.00000000e+00,2.07632360e+00,8.89231870e+00,-9.79526005e+00,3.94871760e-03,6.05180260e+02,1.90704460e+00,2.29455900e+00,-9.17983847e+00,1.01677833e-01,2.05000000e+01
2,21,-9.06800670e+00,0.00000000e+00,2.07657570e+00,8.72664110e+00,-9.78487591e+00,4.52593636e-03,6.05378200e+02,1.90727210e+00,2.29484940e+00,-9.17983847e+00,1.11831765e-01,2.15000000e+01
1,40,-9.06580639e+00,0.00000000e+00,2.08366010e+00,6.88882090e+00,-9.49464732e+00,2.65751705e-02,6.03500300e+02,1.94835780e+00,2.24841390e+00,-9.46501200e+00,3.99205611e-01,4.05000000e+01
2,22,-9.05737194e+00,0.00000000e+00,2.07683840e+00,8.57470220e+00,-9.77399979e+00,5.15300994e-03,6.05585700e+02,1.90751040e+00,2.29515380e+00,-9.17983847e+00,1.22466523e-01,2.25000000e+01
0,53,-9.05319227e+00,0.00000000e+00,2.09106820e+00,6.12792310e+00,-9.19566509e+00,5.78747549e-02,6.01844110e+02,2.00940170e+00,2.18257700e+00,-9.75363811e+00,7.00445840e-01,5.35000000e+01
2,23,-9.04625663e+00,0.00000000e+00,2.07711280e+00,8.43465550e+00,-9.76263250e+00,5.83125155e-03,6.05802790e+02,1.90775960e+00,2.29547200e+00,-9.17983847e+00,1.33581835e-01,2.35000000e+01
