t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
1.011377395610e-12,5.000000144010e-02,9.148664670290e-01,3.462163757770e-02,5.069578079320e-04,4.912022671930e-06,2.412258917780e-08,1.000000000000e+04,4.000000455490e+03,4.000001575940e+03,4.000012263440e+03,4.000106538620e+03,4.000470207580e+03,9.380891896690e-04,2.500000001850e+03,1.810742630350e+22,6.228013090590e+06
1.036548056540e-12,5.000000147590e-02,9.148664662510e-01,3.462163824130e-02,5.069578814330e-04,4.912027692990e-06,2.412274951670e-08,1.000000000000e+04,4.000000466830e+03,4.000001615160e+03,4.000012568650e+03,4.000109190020e+03,4.000481907340e+03,9.380891896690e-04,2.500000001890e+03,1.810742630380e+22,6.228013099180e+06
1.062096277390e-12,5.000000151230e-02,9.148664654610e-01,3.462163891490e-02,5.069579560370e-04,4.912032789360e-06,2.412291226070e-08,1.000000000000e+04,4.000000478330e+03,4.000001654970e+03,4.000012878430e+03,4.000111881180e+03,4.000493782460e+03,9.380891896690e-04,2.500000001940e+03,1.810742630410e+22,6.228013107890e+06
1.088027721550e-12,5.000000154930e-02,9.148664646590e-01,3.462163959860e-02,5.069580317600e-04,4.912037962180e-06,2.412307744580e-08,1.000000000000e+04,4.000000490010e+03,4.000001695380e+03,4.000013192860e+03,4.000114612710e+03,4.000505835580e+03,9.380891896690e-04,2.500000001990e+03,1.810742630450e+22,6.228013116740e+06
1.114348137370e-12,5.000000158670e-02,9.148664638460e-01,3.462164029250e-02,5.069581086190e-04,4.912043212590e-06,2.412324510880e-08,1.000000000000e+04,4.000000501860e+03,4.000001736390e+03,4.000013512010e+03,4.000117385210e+03,4.000518069370e+03,9.380891896690e-04,2.500000002030e+03,1.810742630480e+22,6.228013125710e+06
1.141063359430e-12,5.000000162480e-02,9.148664630200e-01,3.462164099690e-02,5.069581866310e-04,4.912048541760e-06,2.412341528660e-08,1.000000000000e+04,4.000000513900e+03,4.000001778020e+03,4.000013835940e+03,4.000120199290e+03,4.000530486510e+03,9.380891896690e-04,2.500000002080e+03,1.810742630520e+22,6.228013134820e+06
1.168179309830e-12,5.000000166340e-02,9.148664621810e-01,3.462164171180e-02,5.069582658130e-04,4.912053950870e-06,2.412358801720e-08,1.000000000000e+04,4.000000526110e+03,4.000001820270e+03,4.000014164730e+03,4.000123055580e+03,4.000543089770e+03,9.380891896690e-04,2.500000002130e+03,1.810742630550e+22,6.228013144070e+06
1.195701999470e-12,5.000000170260e-02,9.148664613310e-01,3.462164243740e-02,5.069583461820e-04,4.912059441110e-06,2.412376333870e-08,1.000000000000e+04,4.000000538500e+03,4.000001863160e+03,4.000014498460e+03,4.000125954700e+03,4.000555881930e+03,9.380891896690e-04,2.500000002180e+03,1.810742630590e+22,6.228013153460e+06
1.223637529460e-12,5.000000174230e-02,9.148664604670e-01,3.462164317390e-02,5.069584277580e-04,4.912065013710e-06,2.412394129000e-08,1.000000000000e+04,4.000000551080e+03,4.000001906690e+03,4.000014837190e+03,4.000128897310e+03,4.000568865820e+03,9.380891896690e-04,2.500000002230e+03,1.810742630630e+22,6.228013162990e+06
1.251992092410e-12,5.000000178270e-02,9.148664595900e-01,3.462164392150e-02,5.069585105560e-04,4.912070669890e-06,2.412412191060e-08,1.000000000000e+04,4.000000563850e+03,4.000001950870e+03,4.000015181000e+03,4.000131884050e+03,4.000582044310e+03,9.380891896690e-04,2.500000002290e+03,1.810742630670e+22,6.228013172660e+06
